# mark  weight  h_obs[m]  h_model_peak[m]  peak_step
0 1 1.05533 2.1047 5100
1 1 2.385 3.24248 5100
2 1 0.771333 0.614626 300
3 1 0.110667 1.4228 9000
4 1 0.396 1.14824 7200
5 1 0.332667 2.35332 6900
6 1 0.101667 0.38193 15000
7 1 0.0926667 0.38193 15000
8 1 0.679667 0.0454707 300
9 1 2.929 0.508912 21600
10 1 0.804333 1.3977 35700
11 1 0.323667 0.991121 36600
12 1 3.41533 3.30266 3600
13 1 1.20333 1.55663 17400
14 1 1.10433 0.170343 3600
15 1 2.53833 3.66606 7200
16 1 0.0596667 0.216396 300
17 1 0.0213333 0.87737 9000
18 1 0.314 1.7683 32700
19 1 0.456 1.19251 36300
20 1 0.972333 0.336542 300
21 1 1.226 1.38871 43200
22 1 2.671 2.59456 43200
23 1 1.19733 2.20154 34200
24 1 0.0126667 0.326815 13800
25 1 0.0713333 0.357187 3600
26 1 0.394 1.57668 33300
27 1 2.065 0.973428 300
28 1 0.132 1.47621 33900
29 1 0.0733333 1.73939 31800
30 1 1.217 0.790611 3600
31 1 0.526667 0.170316 3600
32 1 0.715333 0.198066 300
33 1 0.174333 0.510307 16200
34 1 0.615333 0.391459 600
35 1 0.664333 0.0153452 300
36 1 0.538667 1.71143 33600
37 1 3.66467 3.50616 18900
38 1 0.017 0.105971 300
39 1 0.353 1.73268 33000
40 1 1.03233 0.472026 4200
41 1 0.633 1.19251 36300
42 1 0.916 1.49821 42600
43 1 0.0136667 0.148263 300
44 1 4.319 3.62181 43200
45 1 0.81 1.49821 42600
